city,year,Date_Quarter,bedrooms_count,average_rate_per_night,latitude,longitude,counties,zipcodes,TotalPop,Income,Poverty
Houston,2016,First,1,$42,29.580173741346304,-95.1368765873689,Harris County,77062,4525519,57791,16.8
Houston,2015,Second,1,$35,29.7552121678677,-95.38133652865108,Harris County,77006,4525519,57791,16.8
Katy,2016,Third,1,$35,29.764818267874897,-95.735564727989,Harris County,77450,4525519,57791,16.8
Houston,2015,Third,4,$300,29.810228728976803,-95.1696703061258,Harris County,77049,4525519,57791,16.8
Houston,2017,First,3,$1600,29.8108236545934,-95.2856732781958,Harris County,77028,4525519,57791,16.8
Houston,2015,Third,Studio,$90,29.7305313124618,-95.36952978225,Harris County,77004,4525519,57791,16.8
Houston,2015,Third,1,$45,29.987902148127898,-95.4026118067055,Harris County,77073,4525519,57791,16.8
Houston,2015,Third,1,$50,29.681047253912897,-95.2371554037396,Harris County,77017,4525519,57791,16.8
Houston,2016,First,1,$50,29.7481132138356,-95.4487467030321,Harris County,77027,4525519,57791,16.8
Houston,2014,First,1,$60,29.6981671062732,-95.37804133460207,Harris County,77054,4525519,57791,16.8
Houston,2016,Second,1,$40,29.703547564515095,-95.4367208528939,Harris County,77025,4525519,57791,16.8
Katy,2015,Fourth,1,$78,29.819784323344106,-95.7060088741724,Harris County,77449,4525519,57791,16.8
Houston,2016,First,1,$50,29.7298541301397,-95.3238076500042,Harris County,77023,4525519,57791,16.8
Houston,2016,Third,2,$99,30.0366178770123,-95.1744311843334,Harris County,77345,4525519,57791,16.8
Houston,2017,First,1,$300,29.7293310884305,-95.64955180568322,Harris County,77082,4525519,57791,16.8
Spring,2017,Second,5,$400,30.145401248571,-95.533760502789,Harris County,77389,4525519,57791,16.8
Spring,2016,Second,4,$250,30.1416164885165,-95.5141617863265,Harris County,77389,4525519,57791,16.8
Houston,2017,First,1,$100,29.536974724137803,-95.0851601044968,Harris County,77058,4525519,57791,16.8
Houston,2017,First,3,$240,29.8117405908927,-95.1872823228845,Harris County,77049,4525519,57791,16.8
Houston,2015,Fourth,1,$51,29.778416825657303,-95.3931003780068,Harris County,77007,4525519,57791,16.8
Houston,2014,Fourth,1,$90,29.7403401021243,-95.4004098754404,Harris County,77006,4525519,57791,16.8
Houston,2016,Third,1,$65,29.7266414864697,-95.4199222942877,Harris County,77005,4525519,57791,16.8
Houston,2015,Third,2,$130,29.7536311231402,-95.39079164632128,Harris County,77019,4525519,57791,16.8
Houston,2013,Third,1,$64,29.7733058871414,-95.3554194885053,Harris County,77026,4525519,57791,16.8
Houston,2016,Second,3,$275,29.7459696460848,-95.370639153011,Harris County,77003,4525519,57791,16.8
Houston,2015,Third,1,$19,29.679016679308,-95.417482975281,Harris County,77054,4525519,57791,16.8
La Porte,2016,Second,1,$39,29.6186433212993,-95.0196173820574,Harris County,77571,4525519,57791,16.8
Houston,2014,Third,2,$600,29.730363218204698,-95.3260668200112,Harris County,77023,4525519,57791,16.8
Houston,2014,Fourth,Studio,$80,29.7460557461137,-95.3843770253122,Harris County,77006,4525519,57791,16.8
Houston,2016,Second,1,$28,29.8113930713483,-95.7143479112318,Harris County,77084,4525519,57791,16.8
Houston,2013,Third,1,$79,29.8017273676363,-95.39005051869492,Harris County,77008,4525519,57791,16.8
Houston,2013,Third,4,$650,29.5839360640743,-95.1380755796314,Harris County,77062,4525519,57791,16.8
Houston,2015,Third,1,$49,29.7515276330233,-95.3378565364719,Harris County,77003,4525519,57791,16.8
Humble,2013,Third,2,$100,30.0086543404603,-95.28784122567671,Harris County,77338,4525519,57791,16.8
Seabrook,2015,First,2,$225,29.5605302802147,-95.0211467310694,Harris County,77586,4525519,57791,16.8
Houston,2017,First,2,$125,29.744212270406106,-95.4793709233184,Harris County,77057,4525519,57791,16.8
Houston,2013,First,1,$40,29.8081559790697,-95.41532947984948,Harris County,77008,4525519,57791,16.8
Houston,2017,First,1,$69,29.754960936971894,-95.3957613030683,Harris County,77019,4525519,57791,16.8
Houston,2016,Second,1,$86,29.751456061511,-95.3538978706954,Harris County,77003,4525519,57791,16.8
Houston,2016,Second,2,$59,29.589300393143105,-95.1355011750634,Harris County,77062,4525519,57791,16.8
Houston,2016,Fourth,2,$95,29.6977254879128,-95.41817661195,Harris County,77025-9998,4525519,57791,16.8
Bellaire,2017,First,5,$2274,29.697601248097,-95.47870920742692,Harris County,77401,4525519,57791,16.8
Bellaire,2016,Second,1,$75,29.6964476760537,-95.4528884853984,Harris County,77401,4525519,57791,16.8
Houston,2016,Third,1,$119,29.7139272424815,-95.3813950593612,Harris County,77004,4525519,57791,16.8
Highlands,2017,First,2,$99,29.8284111310629,-95.0066892269384,Harris County,77562,4525519,57791,16.8
Houston,2017,First,2,$105,29.804774087173,-95.39637284238658,Harris County,77008,4525519,57791,16.8
Houston,2015,Fourth,1,$92,29.7497456696814,-95.3781278131233,Harris County,77006,4525519,57791,16.8
Houston,2016,Fourth,1,$75,29.763848561646,-95.37851923071491,Harris County,77007,4525519,57791,16.8
Houston,2014,Fourth,Studio,$95,29.7040521093476,-95.37101926904242,Harris County,77021,4525519,57791,16.8
Houston,2017,First,1,$47,30.038173712308,-95.2242757115925,Harris County,77339,4525519,57791,16.8
Houston,2015,Second,1,$40,29.7024134139927,-95.5328605403285,Harris County,77036,4525519,57791,16.8
Houston,2016,Third,2,$98,29.6994428065385,-95.35728876465107,Harris County,77021,4525519,57791,16.8
Pasadena,2016,Third,3,$40,29.6603813448825,-95.1197919413428,Harris County,77505,4525519,57791,16.8
Houston,2016,First,1,$66,29.7804563964874,-95.3657279438176,Harris County,77009,4525519,57791,16.8
Houston,2016,Fourth,2,$800,29.5553502830701,-95.1175495948214,Harris County,77058,4525519,57791,16.8
Houston,2017,First,4,$1500,29.954680087782503,-95.1760702862707,Harris County,77044,4525519,57791,16.8
Houston,2016,Third,1,$38,29.6980392863416,-95.5284895529874,Harris County,77036,4525519,57791,16.8
Houston,2016,Third,1,$99,29.826385860933,-95.0780541952061,Harris County,77049,4525519,57791,16.8
